央视频道,#genre#
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
河南卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=7384596500152929578&livemode=1&stbId=A
旅游卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=7899627377857656087&livemode=1&stbId=A
旅游卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=6187345409661409786&livemode=1&stbId=A
四川卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000016825&livemode=1&stbId=A
贵州卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000003169&livemode=1&stbId=A
新疆卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000029441&livemode=1&stbId=A
内蒙古卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000014080&livemode=1&stbId=A
青海卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000013359&livemode=1&stbId=A
山西卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000021220&livemode=1&stbId=A
陕西卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000007495&livemode=1&stbId=A
云南卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000024694&livemode=1&stbId=A
宁夏卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000031451&livemode=1&stbId=A
西藏卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=6603041244077933770&livemode=1&stbId=A
甘肃卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000017827&livemode=1&stbId=A
厦门卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=5084893189220221988&livemode=1&stbId=A
纯享4K,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011651&livemode=1&stbId=A

最新电视,#genre#
NewTV山东,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225788/index.m3u8
NweTV江西,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225789/index.m3u8

NewTV安徽,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225790/index.m3u8

NewTV广东,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225791/index.m3u8

NewTV广西,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225792/index.m3u8

NewTV四川,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225793/index.m3u8

NewTV吉林,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225794/index.m3u8

NewTV云南,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225795/index.m3u8

NewTV魅力潇湘,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000006197&livemode=1&stbId=A
NewTV古装剧场,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=6859053933687922163&livemode=1&stbId=A
NewTV动作电影,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=8103864434730665389&livemode=1&stbId=A
NewTV军旅剧场,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=7485075951068666323&livemode=1&stbId=A
NewTV家庭剧场,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=6316377948248689070&livemode=1&stbId=A
NewTV惊悚悬疑,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=7151256057701199617&livemode=1&stbId=A
NewTV海外剧场,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=7681593242002292003&livemode=1&stbId=A
NewTV武博世界,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=bokesen&livemode=1&stbId=A
NewTV风尚购物,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=5595720619887440144&livemode=1&stbId=A
